food,measure,g_or_ml,carbs_g,calories_kcal
Nesquick em pó sabor morango (Nestlé®),1 colher de sopa,10,6,28
Neston 3 Cereais (Nestlé®),1 colher de sopa,7,5,26
"Neston bebida láctea sabor maçã, banana e mamão (Nestlé®)",1 unidade,280,35,216
Nhoque,1 escumadeira cheia,100,37,184
Nhoque,1 colher de sopa,30,7,36
Nhoque de batata,1 colher de sopa,30,6,35
Niguiri de atum,1 unidade,30,10,60
Niguiri de camarão,1 unidade,30,10,65
Niguiri sushi de atum,1 unidade,30,10,59
Niguiri sushi de kani,1 unidade,30,10,51
Niguiri sushi de salmão,1 unidade,30,10,57
Niguiri sushi de salmão,1 unidade,30,10,57
Ninho soleil sabor morango (Nestlé®),1 unidade,170,31,170
Noz,1 unidade,5,1,35
Nuggets (média),1 unidade,26,4,64
Nuggets de frango tradicional Sadia®,1 unidade,22,3,40
Nuggets de legumes Sadia®,1 unidade,21,4,36
Nutella,1 colher de sopa,20,12,107
Nutella PREMIUM,1 colher de sopa,20,12,107
Nutren® Active,1 colher de sopa,16,9,56
Nutren® Control Baunilha em pó,1 colher de sopa,14,2,36
Nutren® Control Baunilha pronto pra beber,1 frasco,200,14,212
Nutren® Control Chocolate® pronto pra beber,1 frasco,200,14,208
Nutridrink® Protein em pó,1 porção,30,18,111
Óleo de Babaçu,1 colher de sopa,8,0,72
Óleo de Canola,1 colher de sopa,8,0,72
Óleo de Coco,1 colher de sopa,8,0,71
Óleo de Gergelim,1 colher de sopa,8,0,72
Óleo de Girassol,1 colher de sopa,8,0,72
Óleo de Linhaça,1 colher de sopa,8,0,72
Óleo de Milho,1 colher de sopa,8,0,72
Óleo de Soja,1 colher de sopa,8,0,72
Óleos vegetais,1 colher de sopa cheia,8,0,72
Olho de Sogra,1 unidade,10,5,34
Omelete,1 ovo,65,2,110
Onion rings (Burguer King)® 1 porção,,0,52,460
Ora pro nobis,1 porção,100,5,26
Orégano seco,1 colher café cheia,4,3,10
Original (Burguer King) ®,1 unidade,0,32,714
Original Cheddar (Burguer King) ®,1 unidade,0,33,541
Ovo de codorna,1 unidade,10,0,16
Ovo de galinha frito,1 unidade,50,0,117
Ovo de galinha inteiro (cozido),1 unidade média,45,0,71
Ovo de galinha mexido,1 unidade,50,0,84
"Ovo de galinha, clara cozida",1 unidade média,30,0,15
"Ovo de galinha, gema cozida",1 unidade média,15,0,53
Ovo de Páscoa (média),1 pedaço médio,25,15,134
Ovo de Páscoa Amandita ®,1 porção,25,15,135
Ovo de Páscoa Bis ®,1 porção,25,15,130
Ovo de páscoa Diamante Negro ®,1 porção,25,16,128
Ovo de Páscoa Ferrero Rocher ®,1 porção,25,9,151
Ovo de Páscoa Kinder Ovo Maxi ®,1 porção,25,13,143
Ovo de Páscoa Lacta ®,1 porção,25,15,131
Ovo de Páscoa Lacta Diet ®,1 porção,25,15,111
Ovo de Páscoa Shot ®,1 porção,25,14,134
Ovo de Páscoa Sonho de Valsa ®,1 porção,25,15,134
Ovomaltine ®,1 colher de sopa cheia,14,12,53
Ovos Benedict com presunto,1 porção,100,13,218
Paçoca,1 unidade,32,17,156
Paçoca diet Airon,1 unidade,20,7,79
Paçoquita  ®,1 unidade,20,10,103
Paçoquita zero  ®,1 unidade,18,8,100
Pacu inteiro cru,1 pedaço médio,100,0,292
Paio,1 unidade,160,5,363
Palha italiana,1 porção,100,65,407
Palmito em conserva,1 colher de sopa cheia,15,1,3
Pamonha,1 unidade,160,69,413
Pamonha doce,1 unidade pequena,130,47,335
Panettone frutas,1 fatia pequena,25,14,88
Panettone Frutas Zero   (Wickbold) ®,1 fatia,80,38,250
Panqueca carne,1 unidade média,80,18,229
Panqueca de batata (Kartoffelpuffer),1 unidade média,30,22,97
Pão 3 queijos ( Subway) ®,1 porção,83,36,244
Pão 9 grãos  ( Subway)  ®,1 porção,78,41,216
Pão 9 grãos com aveia e mel ( Subway)  ®,1 porção,88,38,216
Pão careca doce,1 unidade,50,28,134
Pão colonial italiano,1 fatia grande,50,27,128
Pão com tucumã,1 unidade,85,28,241
Pão de batata-inglesa,1 unidade média,50,29,137
Pão de cachorro-quente,1 unidade,58,31,170
Pão de centeio integral,1 unidade média,50,23,116
Pão de forma 100% integral ( Wickbold) ®,1 fatia,25,8,68
Pão de forma 100% Integral Girassol e Castanha ( Wickbold) ®,1 fatia,25,9,61
Pão de Forma 12 Grãos 100% Integral ( Pullman) ®,1 fatia,25,9,60
Pão de forma branco,1 fatia,25,12,62
Pão de forma de aveia,1 fatia,25,15,85
Pão de forma de centeio,1 fatia,27,13,75
Pão de Forma Grãos e Castanhas ( Pullman ) ®,1 fatia,33,13,82
Pão de forma integral,1 fatia,25,11,58
Pão de hambúrguer,1 unidade,70,40,188
Pão de Hot Dog (Pullman) ®,1 unidade,50,25,129
Pão de leite,1 unidade,54,30,149
Pão de mel,1 unidade média,15,13,76
Pão de mel ( Bauducco) ®,1 unidade,30,21,115
Pão de mel ( média),1 unidade,30,20,135
Pão de mel (Wickbold) ®,1 unidade,35,19,155
Pão de mel doce de leite Cacau Show,1 unidade,50,30,190
Pão de milho caseiro,1 fatia média,70,43,200
Pão de milho com 50% de farinha de trigo,1 unidade,70,42,204
Pão de milho de forma Panco ®,1 fatia,50,29,155
Pão de milho industrializado,1 unidade,70,43,201
Pão de passas,1 unidade,50,26,136
Pão de queijo,1 unidade lanche,45,20,196
Pão de queijo,1 unidade tradicional,25,11,109
Pão de queijo,1 unidade super lanche,90,40,391
Pão de queijo,1 unidade pequena,20,9,87
Pão de queijo light Forno de Minas ®,1 unidade média,27,9,55
Pão de torresmo,1 fatia,70,33,375
Pão Do Forno 100% Integral  ( Wickbold) ®,1 fatia,33,11,77
Pão doce,1 unidade,50,28,134
Pão francês,1 unidade,50,29,135
Pão francês integral,1 unidade,50,23,123
Pão integral sem gluten Jasmine ®,1 fatia,25,5,33
Pão italiano,1 fatia,50,28,125
Pão italiano branco  (Subway)  ®,1 porção,73,36,194
Pão multigrãos sem gluten Jasmine ®,1 fatia,25,8.5,50
Pão parmesão e orégano  (Subway)  ®,1 porção,76,36,210
Pão sem Gluten com coco Jasmine®,1 fatia,25,9,52
Pão sem gluten Jasmine ®,1 fatia,25,11,63
Pão sírio ( Habib’s)  ®,1 porção,80,42,260
Pão sírio integral Pita Bread ®,1 unidade,50,24,124
Pão sírio Pita Bread ®,1 unidade,50,28,139
Pão tostado na chapa  (Habib’s)  ®,1 porção,75,31,236
Papinha de  macarrão carne e  legumes Nestlé  ®,1 pote,170,16,128
Papinha de banana e aveia Nestlé ®,1 pote,120,13,62
Páprica,1 colher de café cheia,4,2,13
Pasta de amendoim integral Power one ®,1 colher de sopa,15,3,91
Pasta de atum,1 colher de sopa cheia,35,2,112
Pasta de tofu,1 colher de sopa cheia,26,2,45
Pastel de belém (Habib´s) ®,1 unidade,50,19,146
Pastel de carne,1 unidade média,32,5,84
Pastel de carne (Habib’s) ®,1 unidade,75,19,223
Pastel de queijo,1 unidade média,25,5,75
Pastel de queijo (Habib’s) ®,1 unidade,75,18,252
Pastel de queijo de forno,1 unidade grande,40,15,185
Pastel português,1 unidade média,35,10,149
Pastelzinho,1 unidade pequena,8,3,24
Patê de atum Coqueiro ®,1 colher de chá,10,0,14
Patê de atum ligth Gomes da Costa ®,1 colher de chá,10,1,12
"Patê de Foie Gras, enlatado, defumado",1 colher de cha cheia,8,0,22
Patê de frango com ervas finas  Excelsior ®,1 colher de chá,10,1,20
Patê de peito de peru defumado Sadia ®,1 colher de chá,10,0,22
Pato no tucupi assado,1 sobrecoxa,100,3,303
Pavê de chocolate,1 pedaço médio,85,16,154
Pavê de chocolate branco Amor aos Pedaços ®,1 fatia,60,22,226
Pé-de-moleque,1 unidade média,17,10,88
Pé-de-moleque (Norte),1 pedaço médio,100,45,336
Pé-de-moleque diet Airon ®,1 unidade média,14,6,61
Pé-de-moleque Santa Helena ®,1 unidade,15,10,73
Peito de peru defumado ligth Sadia ®,1 fatia,20,0,21
Peito de peru defumado Perdigão ®,1 fatia,25,0,41
Peixe de água doce cozido (média),1 filé médio,120,0,117
Peixe do mar cozido (média),1 filé médio,120,0,117
Peixe grelhado,1 posta ou filé,100,0,180
Peixe na telha,1 posta média,230,7,262
Pepino com casca (picles),1/4 xícara de chá,50,2,12
Pepino cru,1 fatia pequena,3,0,1
Pequi refogado,4 unidades médias,70,9,143
Pera,1 unidade média,130,19,80
Pernil assado,1 fatia,100,1,94
Pernil suíno temperado Seara ®,1 fatia,100,0,169
Peru (carne branca assada),1 pedaço médio,32,0,57
Pescada inteira crua,1 pedaço médio,100,0,111
Pescoço de Peru Perdigão®,1 porção,76,1,125
Pêssego amarelo,1 unidade média,60,6,29
Pessego em calda Schramm ®,1 metade,30,10,41
Petit Gateau de chocolate ( Habib’s)  ®,1 unidade,185,64,634
Picolé abacaxi Kibon ®,1 unidade,59,16,65
Picolé chicabon Kibon ®,1 unidade,65,19,106
Picolé Chicabon zero Kibon ®,1 unidade,63,13,74
Picolé de açai  linha leve Oggi®,1 unidade,60,6,41
Picolé de amendoim  linha leve Oggi®,1 unidade,57,9,41
Picolé de chocolate  linha leve Oggi®,1 unidade,57,4,73
Picolé de coco  linha leve Oggi®,1 unidade,57,8,70
Picolé de coco la frutta Nestlé ®,1 unidade,58,13,90
Picolé de limão  linha leve Oggi®,1 unidade,60,6,27
Picolé de milho  linha leve Oggi®,1 unidade,57,9,71
Picolé de morango la frutta Nestlé ®,1 unidade,60,8,36
Picolé de uva la frutta Nestlé ®,1 unidade,61,15,62
Picolé de uva linha leve Oggi®,1 unidade,60,6,31
Picolé fruttare coco    Kibon  ®,1 unidade,60,14,84
Picolé fruttare limão  Kibon ®,1 unidade,58,13,51
Picolé fruttare manga   Kibon  ®,1 unidade,83,22,92
Picolé fruttare uva  Kibon®,1 unidade,59,15,60
Picolé linha leve sabor açaí Oggi®,1 picolé,60,6,41
Picolé linha leve sabor amendoim Oggi®,1 picolé,60,8,80
Picolé linha leve sabor chocolate Oggi®,1 picolé,60,9,73
Picolé linha leve sabor coco Oggi®,1 picolé,60,8,70
Picolé linha leve sabor limão Oggi®,1 picolé,60,6,27
Picolé linha leve sabor milho Oggi®,1 picolé,60,9,71
Picolé linha leve sabor uva Oggi®,1 picolé,60,8,34
Picolé linha zero Itália® sabor chocolate,1 picolé,58,14,99
Picolé linha zero Itália® sabor manga,1 picolé,58,12,49
Picolé linha zero Itália® sabor mcoco,1 picolé,58,13,104
Picolé linha zero Itália® sabor morango,1 picolé,58,12,88
Picolé mega clássico  Nestlé ®,1 unidade,73,26,240
Picolé mega trufas Nestlé ®,1 unidade,71,27,240
Pimenta-do-reino,1 colher de sopa,10,0,2
Pimenta-malagueta,1 colher de sopa cheia,15,1,6
Pimentão amarelo,1 colher sopa cheia,20,1,5
Pimentão verde,1 colher de sopa cheia,13,1,7
Pimentão vermelho,1 colher de sopa cheia,20,1,5
Pina colada,1 dose,165,18,243
Pina colada,1 copo,200,22,298
Pinha,1 unidade,60,13,53
Pinhão,1 unidade média,10,5,25
Pinhão cozido,1 concha,100,44,174
Pipoca doce Yoki  ®,1/2 xícara de chá,25,19,113
Pipoca no óleo/manteiga com sal,1 saco médio,20,14,90
Pipoca salgada,1 saco médio,20,14,90
Piquiá,1 unidade pequena,50,15,179
Pirão de farinha de mandioca,1 colher de sopa cheia,30,9,36
Pirarucu,1 filé médio,100,0,120
Pirarucu de casaca,1 escumadeira cheia,110,25,293
Pirulito,1 unidade,20,19,74
Pistache,1 unidade,1,0,4
Pitanga,1 unidade,15,1,7
Pitaya,1 unidade,80,10,41
Pitomba,10 unidades,60,5,20
Pizza a moda da casa Habib’s ®,1 fatia,93,28,282
Pizza Brasileira,1 fatia média,111,25,268
Pizza Califórnia,1 fatia média,100,26,213
Pizza de Alcachofra,1 fatia média,100,21,273
Pizza de atum,1 fatia média,100,21,258
Pizza de bacon,1 fatia média,100,22,288
Pizza de bacon com requeijão,1 fatia média,123,26,244
Pizza de bacon com requeijão (Pan) ®,1 fatia média,122,24,324
Pizza de banana com canela,1 fatia média,100,40,207
Pizza de brigadeiro,1 fatia média,100,59,402
Pizza de calabresa,1 fatia média,100,21,240
Pizza de camarão,1 fatia média,100,21,268
Pizza de champignon,1 fatia média,100,22,222
Pizza de chocolate ao leite,1 fatia média,100,54,483
Pizza de chocolate branco,1 fatia média,100,41,443
Pizza de doce de leite,1 fatia média,100,51,423
Pizza de Escarola,1 fatia média,100,22,294
Pizza de frango,1 fatia média,100,22,229
Pizza de frango com catupiry,1 fatia média,111,25,274
Pizza de marguerita,1 fatia média,119,27,274
Pizza de mussarela,1 fatia média,100,22,278
"Pizza de mussarela de búfala, rúcula e tomate seco",1 fatia média,100,22,165
Pizza de palmito com mussarela,1 fatia média,100,25,220
Pizza de pepperoni,1 fatia média,102,26,274
Pizza de portuguesa,1 fatia média,125,24,246
Pizza de Prestígio,1 fatia média,100,55,420
Pizza de quatro queijos,1 fatia média,100,27,277
Pizza de quatro queijos com catupiry Habib’s ®,1 fatia média,105,17,270
Pizza de Romeu e Julieta,1 fatia média,100,27,266
Pizza de Rúcula,1 fatia média,100,22,255
Pizza Napolitana,1 fatia média,100,20,207
Pizza Toscana,1 fatia média,100,20,227
Pizza Vegetariana,1 fatia média,111,22,192
Polenguinho ®,1 unidade,20,2,72
Polenguinho light  ®,1 unidade,20,2,51
Polenta com molho de carne,1 escumadeira,100,8,59
Polenta cozida,1 pedaço médio,30,3,20
Polenta frita,1 pedaço pequeno,20,2,18
Polenta mole,1 concha pequena,100,8,59
Polpetone a parmeggiana,1 unidade,150,12,280
Polvilho,1 colher de sopa cheia,16,14,56
Polvo cru,1 porção,200,4,160
Porco frito com rodelas de limão,1 porção,100,0,311
Prato do chef picanha 160g (Bob’s) ®,1 porção,300,29,608
Prato primavera (Habib’s) com pão sirio ®,1 porção,559,83,772
Prato verão (Habib’s) ®,1 porção,451,76,723
Premium salad (Mc’Donalds) ®,1 porção,0,3,104
Presunto cozido,1 fatia média,15,0,22
Presunto de peru,1 fatia média,15,0,15
Pringles original ®,1 unidade,2,1,10
Pringles sabor cebola ®,1 porção,25,14,129
Proteína texturizada de soja,1 xícara ou 1 hambúrguer,50,15,171
Pudim de leite,1 fatia média,50,12,91
Pudim de leite condensado,1 fatia média,70,24,171
Pudim de passas,1 fatia média,50,14,95
Pudim de tapioca,1 fatia grande,110,19,263
Pudim de tapioca com leite condensado,1 fatia grande,90,40,150
Pupunha,1 unidade média,25,5,41
Purê de batata,1 colher de sopa cheia,45,8,56
Purê de batata,1 concha,140,22,152
Purê de inhame,1 colher de sopa cheia,40,7,49
Purê de tomate,1 colher de sopa cheia,45,5,22
Quarteirão Sanduíche Mc’Donalds®,1 unidade padrão,0,34,549
Quebra-Queixo,1 pedaço pequeno,30,22,180
Queijadinha,1 unidade pequena,20,10,70
Queijo Brie,1 fatia,30,0,112
Queijo Camembert,1 fatia,30,0,114
Queijo Canastra,1 fatia,30,1,111
Queijo Catupiry® Original,1 colher de sopa,30,0,80
Queijo Cheddar,1 fatia fina,15,0,53
Queijo Coalho,1 fatia,30,1,106
Queijo Cottage,1 colher de sopa cheia,30,1,37
Queijo de Cabra,1 porção,30,0,135
Queijo Edam Tirolez®,1 pedaço,30,0,104
Queijo Emental Vigor®,1 fatia,30,0,125
Queijo Gorgonzola nacional,1 fatia média,30,1,105
Queijo Gouda,1 fatia,30,0,115
Queijo Gruyere Polenghi®,1 fatia,30,0,113
Queijo minas frescal light Polenghi®,1 colher de sopa,25,1,33
Queijo Minas meia cura,1 fatia,30,1,96
Queijo Minas Padrão (média),1 fatia,30,0,107
Queijo Minas Padrão Vegano VidaVeg®,1 fatia,30,9,93
Queijo Muçarela,1 fatia fina,20,0,65
Queijo muçarela de búfala,1 fatia média,15,0,43
Queijo Muçarela Light,1 fatia,15,0,38
Queijo Muçarela Vegano VidaVeg®,1 fatia,30,9,95
Queijo parmesão,1 fatia,30,0,116
Queijo parmesão ralado,1 colher de sopa,15,0,70
Queijo Polenghinho® Light,1 unidade,20,1,35
Queijo prato,1 fatia fina,15,0,59
Queijo provolone,1 fatia média,15,0,52
Queijo provolone Tirolez®,1 fatia,15,0,56
Queijo ricota,1 fatia média,35,1,54
Queijo roquefort,1 fatia pequena,20,0,71
Queijo roquefort nacional,1 fatia média,30,0,120
Queijo suiço,1 fatia média,30,0,120
Queijo tipo requeijão,1 fatia média,30,0,89
Queijo tofu,1 pedaço pequeno,10,0,7
Queijo-de-minas frescal,1 fatia média,30,1,73
Queijo-de-minas frescal light,1 fatia média,30,1,71
Queijo-do-reino Tirolez®,1 pedaço pequeno,30,0,108
Quentão,1/2 copo,100,34,295
Quiabo cozido,1 colher de sopa,15,1,6
Quibe assado,1 porção\pedaço médio,100,15,172
Quibe cru,1 porção\pedaço médio,100,20,126
Quibe frito,1 unidade média,50,9,127
Quibe frito (festa),1 unidade pequena,12,2,31
Quibe frito (Habib’s)®,1 unidade padrão\média,85,14,152
Quibebe (Purê de abóbora),1 colher de sopa,25,3,22
Quiche de Espinafre,1 fatia média,100,14,155
Quiche de Presunto e Queijo,1 unidade média,50,10,259
Quiche de Queijo,1 unidade pequena,20,4,78
Quiche de Queijo Sadia®,1 fatia,113,21,357
Quindim,1 unidade média,35,15,111
Quindim,1 unidade grande,70,30,222
Quindim,1 unidade pequena,18,8,56
Quinoa (Grãos),1 colher de sopa,15,10,53
Quinoa em grãos Mãe Terra®,1/4 xícara de chá,45,26,153
"Rã, carne de (desfiada)",1 colher de sopa cheia,10,0,7
Rabada,1 unidade média,40,1,155
Rabada de Boi,1 porção,100,0,365
Rabanada,1 unidade média,60,19,175
Rabanada (preparada com vinho tinto),1 unidade média,60,19,149
Rabanada assada (preparada com leite condensado),1 unidade média,55,22,126
Rabanada com açúcar e canela em pó,1 porção,100,31,293
Rabanada frita simples (preparada com leite),1 unidade média,65,20,159
Rabanete cru,1 colher de sopa cheia,35,1,8
Rabanete cru,1 prato de sobremesa,100,3,14
Rap Comum Pullman®,1 unidade,40,20,110
Rap Integral Pullman®,1 unidade,40,20,120
Rap Light Pullman®,1 unidade,40,17,83
Rap10 Chocolate (Bimbo®),1 unidade,40,18,106
Rap10 Fibras (Bimbo®),1 unidade,40,17,109
Rap10 Fit (Bimbo®),1 unidade,40,21,101
Rap10 Original (Bimbo®),1 unidade,40,18,110
Rapadura,1 pedaço médio,55,48,194
Rapadura de Minas Rapadurinha®,1 unidade,25,22,86
Ratatouille,1 porção,107,6,77
Ravióli de carne,1 escumadeira,50,25,141
Ravióli de queijo,1 escumadeira,50,19,149
Red Bull ® - bebida energética tradicional,1 lata,250,28,110
Red Bull ® Sugar Free bebida energética,1 lata,250,2,10
Refresco comum com açúcar (média) - refresco de saquinho em pó,1 copo,200,15,56
Refresco Diet Clight®,1 copo,200,0,5
Refrigerante citrus (Schweppes)®,1 lata,350,42,170
Refrigerante comum (média),1 copo duplo,240,24,96
Refrigerante diet (média),1 copo duplo,240,0,0
Refrigerante zero (média),1 copo duplo,240,0,0
Repolho cozido (picado),1 colher de sopa cheia,10,0,1
Repolho cru (picado),1 colher de sopa cheia,10,0,2
Requeijão comum cremoso (média padrão),1 colher de sopa cheia,30,1,106
Requeijão cremoso Light,1 colher de sopa cheia,30,1,54
Requeijão Itambé® - sabores Ervas Finas ou Cheddar,1 e 1\2 colher de sopa,45,1,126
Requeijão Tradicional Vegano VidaVeg®  de Castanha de Caju,1 colher de sopa,30,2,83
Risole (salgado),1 unidade média,35,14,145
Risole de Queijo,1 unidade,50,8,112
Risoto (média),1 colher de sopa,25,6,41
Risoto à grega Tio João®,1 colher de sopa rasa,15,12,53
Risoto de Camarão,1 colher de sopa cheia,25,6,45
Risoto de Frango,1 colher de sopa cheia,25,6,45
Rocombole Baunilha com recheio Chocolate Bauducco®,1 fatia,60,24,193
Rocombole de Doce de Leite,1 pedaço médio,80,45,232
Rocombole doce Pullman® (média),1 fatia,50,31,180
Rolinho Primavera,1 unidade,100,9,174
Roll cake de chocolate,1 unidade,38,22,143
Romã,1 unidade,50,7,28
Rosbife,1 fatia,50,0,83
Rosquinha 7 grãos Da Magrinha® (média dos sabores),1 unidade,8,4,22
Rosquinha de Cacau Cacau Suavipan®,1 pacote pequeno,30,18,98
Rosquinha de Coco Light Suavipan®,1 pacote,35,21,117
Rosquinhas de leite (média),1 unidade média,7,4,27
Rúcula,1 pires cheio,15,2,6
Ruffles® Batata Chips,1\2 xícara de chá,25,12,136
Ruffles® Batata Chips,1 pacote pequeno,60,29,338
Rum (40% álcool),1 dose padrão,50,0,115
Sagu cru,1 colher de sopa cheia,30,27,105
"Sagu de leite, tradicional",1 colher de sopa cheia,30,6,40
"Sagu tradicional, em vinho",1 colher de sopa cheia,20,6,29
Salada Agadir,1 porção,100,3,167
Salada Almanara,1 porção,100,9,156
Salada Caesar,1 porção grande,180,12,152
Salada Caesar,1 porção pequena,80,10,97
Salada com carne (Bob’s®),1 porção,160,3,483
Salada com frango empanado (Bob’s®),1 porção,180,17,418
Salada de batata com maionese,1 colher de sopa cheia,38,4,41
Salada de batata com maionese,1 Porção média,90,10,97
"Salada de frutas sem açúcar (laranja, banana, maçã e mamão)",1 copo pequeno,150,24,99
"Salada de frutas sem açúcar (laranja, banana, maçã e mamão)",1 colher de sopa cheia,38,6,24
"Salada de legumes com maionese (batata, cenoura e vagem)",1 colher de sopa cheia,38,3,36
"Salada de legumes cozida no vapor (couve-flor,cenoura, brócolis, batata e vagem)",1 Colher de sopa cheia,38,3,13
Salada Veggie (Bob’s®),1 porção,0,6,184
Salame,1 fatia média,5,0,20
Salgadinho Pingo d’ouro sabor bacon Elma Chips ®,1 e 1/2 xícara,25,8,90
Salmão defumado,1 porção,100,0,112
Salmão filé a milanesa (farinha de rosca e ovo),1 fatia média,100,17,362
"Salmão filé cozido ao molho branco (farinha de trigo, manteiga e leite)",1 filé médio,100,4,199
Salmão grelhado,1 fatia média,100,0,243
Salpicão de frango,1 colher de sopa cheia,25,1,37
Salsa crua,1 colher de sopa cheia,5,0,2
Salsão cru,1 colher de sopa cheia,19,0,3
Salsicha Comum,1 unidade,50,1,104
"Salsicha comum com molho de tomate (tomate, óleo, cebola e alho)",1 unidade,50,3,111
Salsicha de frango Sadia®,1 unidade média,50,1,99
Salsicha de peru Sadia®,1 unidade média,50,2,104
Salsicha envasada (em conserva) Oderich®,1 unidade média,50,0,70
Salsicha light,1 unidade média,30,3,36
Salsichão,1 unidade média,60,2,139
"Sanduíche americano (pão com presunto, queijo, alface, tomate, ovo e maionese)",1 unidade média,210,30,446
Sanduiche BMT italiano (Subway®),1 porção de 15cm,216,47,405
Sanduiche de almondegas  (Subway®),1 porção de 15cm,379,61,498
Sanduiche de atum (Subway®),1 porção de 15cm,233,47,337
Sanduiche de carne e queijo (Subway®),1 porção de 15cm,234,48,344
"Sanduíche de frango (pão de forma, peito de frango grelhado, alface americana, cenoura crua e tomate)",1 unidade média,140,26,229
Sanduiche de frango (Subway®),1 porção de 15cm,228,48,331
Sanduiche de frango defumado c/ cream cheese (Subway®),1 porção de 15cm,232,47,372
Sanduiche de frango teriyaki (Subway®),1 porção de 15cm,237,61,361
Sanduíche de pão francês com salame,1 unidade,80,32,270
"Sanduíche de pão francês, c/ presunto, queijo muçarela, alface e tomate",1 unidade média,140,33,287
"Sanduíche de pão sirio com queijo minas, alface e tomate",1 unidade média,130,38,256
